Tier;Tag;Description
Clause Boundary;;The boundary between clauses indicated by the presence of predicates and/or certain prosodic cues (e.g., head nod).
Discourse Status;Introduced;A first mention of an entity in a given discourse regardless of any syntactic role
;Maintained;A subject referent continued across two or more immediate clauses
;Reintroduced;A subject referent discontinued across at least one clause
REAT Type;NOM: Bare Noun;A non-modified noun phrase (e.g., CAT, MOUSE)
;NOM: Modified Noun;A noun phrase modified by an index sign or an adjective
;NOM: Fingerspelled Noun;Borrowed nouns from Turkish spelled by the manual alphabet (e.g., K-E-D-İ ‘cat’)
;PRO: Pronominal IX;An index sign used in isolation to refer to an entity in discourse
;CL: Whole Entity Classifier;A manual construction that refers to the entirety of an entity
;CL: Body Part Classifier;A manual construction that refers to a part of an entity
;CL: Handling Classifier;A manual construction that refers to the handling of an item
;CL: Extension Classifier;A manual construction that denotes the size and shape of an entity
;NULL: Constructed Action;A multifunctional construction where the signers take on the role of a referent and perform their actions.
;NULL: Plain Verb;A non-agreeing verb (e.g., LOVE)
;NULL: Agreement Verb;A verbal construction the beginning and ending of which agree with person and number.
Perspective;Character;The perspective  type where the signers track a single referent using Constructed Action as the primary REAT.
;Observer;The perspective type where the signers track referents without employing Constructed Action
;Mix;The perspective type where signers simultaneously track multiple referents by employing Constructed Action and other REATs.
