No;Status;Sex;"AOA
";"Age
";LOE;AOA_Median;Use;TID_Receptive;TID_Productive;Turkish_Reading;Turkish_Writing;Turkish_Speaking
1;Native;M;0-3;33;12;0;33;5;5;4;4;3
2;Native;F;0-3;27;12;0;27;5;5;5;5;3
3;Native;F;0-3;27;12;0;27;5;5;3;3;1
4;Native;M;0-3;29;12;0;29;5;5;3;3;1
5;Native;M;0-3;28;12;0;28;5;5;5;5;4
6;Native;M;0-3;32;12;0;32;5;5;3;3;2
7;Native;M;0-3;35;12;0;35;5;5;4;4;2
8;Native;F;0-3;23;12;0;23;5;5;4;4;2
9;Native;F;0-3;30;12;0;30;5;5;3;4;5
10;Native;F;0-3;25;12;0;25;5;5;3;3;1
11;Native;F;0-3;24;14;0;24;5;5;4;4;3
12;Native;M;0-3;18;12;0;18;5;5;3;3;3
13;Native;F;0-3;21;16;0;21;5;5;4;4;3
14;Native;M;0-3;19;16;0;19;5;5;3;3;2
15;Native;F;0-3;25;12;0;25;5;5;4;4;4
16;Late;F;4-7;35;14;5.5;29.5;5;5;3;4;3
17;Late;M;4-7;36;12;5.5;30.5;5;5;3;4;4
18;Late;M;4-7;33;12;5.5;27.5;5;5;3;3;3
19;Late;F;4-7;33;12;5.5;27.5;5;5;3;3;3
20;Late;F;4-7;31;14;5.5;25.5;5;5;5;4;4
21;Late;M;4-7;35;12;5.5;29.5;5;5;3;3;2
22;Late;F;8-12;49;8;10;39;5;5;3;3;2
23;Late;M;8-12;43;16;10;33;5;5;4;4;3
24;Late;M;8-12;28;16;10;18;5;5;4;4;4
25;Late;F;8-12;24;12;10;14;5;5;3;3;3
26;Late;F;8-12;24;8;10;14;4;5;4;3;2
27;Late;M;8-12;33;12;10;23;5;5;3;3;3
28;Late;M;13-17;50;8;15;35;5;4;4;3;4
29;Late;M;13-17;31;16;15;16;5;5;4;4;4
