Subject;Nativeness;Narrative;Reference;Discourse;GTR1_CAT;GTR1;GTR2;GTR-Setting;SimR;Event
2;1;1;1;Introduction;Classifier;SASS - Tracing;0;No;0;N
2;1;1;2;Introduction;Classifier;Body part CL;0;No;1;N
2;1;1;3;Maintenance;Zero Anaphor;Constructed action;0;No;0;N
2;1;1;4;Introduction;Nominal;Bare noun;0;No;0;N
2;1;1;5;Maintenance;Classifier;Whole entity CL;0;No;0;N
2;1;1;6;Re-introduction;Classifier;Whole entity CL;0;No;1;N
2;1;1;7;Re-introduction;Classifier;Whole entity CL;0;No;0;N
2;1;1;8;Maintenance;Classifier;Whole entity CL;0;No;1;N
2;1;1;9;Maintenance;Zero Anaphor;Constructed action;Body part CL;Yes;0;N
2;1;1;10;Maintenance;Zero Anaphor;Plain verb;0;No;0;N
2;1;1;11;Maintenance;Zero Anaphor;Constructed action;Body part CL;Yes;0;N
2;1;1;12;Maintenance;Zero Anaphor;Plain verb;0;No;0;N
2;1;1;13;Maintenance;Zero Anaphor;Constructed action;Body part CL;Yes;0;N
2;1;1;14;Re-introduction;Nominal;Bare noun;0;No;0;N
2;1;1;15;Re-introduction;Nominal;Bare noun;0;No;0;N
2;1;1;16;Maintenance;Classifier;Body part CL;0;No;0;N
2;1;1;17;Maintenance;Zero Anaphor;Plain verb;0;No;0;N
2;1;1;18;Maintenance;Classifier;Body part CL;0;No;0;N
2;1;10;1;Introduction;Nominal;Bare noun;0;No;0;N
2;1;10;2;Introduction;Nominal;Bare noun;0;No;0;N
2;1;10;3;Maintenance;Nominal;Bare noun;0;No;0;N
2;1;10;4;Maintenance;Nominal;Bare noun;0;No;0;N
2;1;10;5;Maintenance;Zero Anaphor;Constructed action;0;No;0;N
2;1;10;6;Re-introduction;Nominal;Bare noun;0;No;0;N
2;1;10;7;Re-introduction;Zero Anaphor;Constructed action;0;No;0;N
2;1;10;8;Re-introduction;Zero Anaphor;Constructed action;Whole entity CL;Yes;0;N
2;1;10;9;Re-introduction;Nominal;Bare noun;0;No;0;N
2;1;10;10;Maintenance;Zero Anaphor;Plain verb;0;No;0;N
2;1;10;11;Re-introduction;Zero Anaphor;Constructed action;Body part CL;Yes;0;Y
2;1;10;12;Maintenance;Zero Anaphor;Constructed action;Handling CL;Yes;1;Y
2;1;10;13;Maintenance;Zero Anaphor;Person agreement verb;Whole entity CL;Yes;1;Y
2;1;10;14;Maintenance;Zero Anaphor;Constructed action;Plain verb;Yes;0;N
2;1;10;15;Maintenance;Zero Anaphor;Person agreement verb;0;No;1;N
2;1;5;1;Introduction;Nominal;Bare noun;0;No;0;N
2;1;5;2;Introduction;Nominal;Bare noun;0;No;0;N
2;1;5;3;Maintenance;Zero Anaphor;Constructed action;0;No;0;N
2;1;5;4;Maintenance;Classifier;Body part CL;0;No;0;N
2;1;5;5;Maintenance;Zero Anaphor;Constructed action;Body part CL;Yes;0;N
2;1;5;6;Introduction;Nominal;Bare noun;0;No;0;N
2;1;5;7;Re-introduction;Nominal;Bare noun;0;No;0;N
2;1;5;8;Maintenance;Zero Anaphor;Constructed action;Handling CL;Yes;0;N
2;1;5;9;Maintenance;Zero Anaphor;Constructed action;Handling CL;Yes;1;N
2;1;5;10;Introduction;Nominal;Bare noun;0;No;0;N
2;1;5;11;Re-introduction;Zero Anaphor;Constructed action;0;No;0;N
2;1;5;12;Re-introduction;Nominal;Bare noun;0;No;0;N
2;1;5;13;Maintenance;Zero Anaphor;Constructed action;Body part CL;Yes;0;N
2;1;5;14;Introduction;Nominal;Bare noun;0;No;0;N
2;1;5;15;Re-introduction;Classifier;Whole entity CL;0;No;1;N
2;1;5;16;Re-introduction;Nominal;Bare noun;0;No;0;N
2;1;5;17;Maintenance;Classifier;Body part CL;0;No;0;N
2;1;6;1;Introduction;Nominal;Bare noun;0;No;0;N
2;1;6;2;Introduction;Nominal;Bare noun;0;No;0;N
2;1;6;3;Maintenance;Zero Anaphor;Person agreement verb;Body part CL;Yes;1;N
2;1;6;4;Re-introduction;Zero Anaphor;Plain verb;0;No;0;N
2;1;6;5;Introduction;Nominal;Bare noun;0;No;0;N
2;1;6;6;Maintenance;Zero Anaphor;Plain verb;0;No;0;N
2;1;6;7;Introduction;Nominal;Bare noun;0;No;0;N
2;1;6;8;Maintenance;Zero Anaphor;Constructed action;Person agreement verb;Yes;1;N
2;1;6;9;Re-introduction;Zero Anaphor;Plain verb;0;No;0;N
2;1;6;10;Re-introduction;Zero Anaphor;Constructed action;Body part CL;Yes;0;N
2;1;6;11;Maintenance;Zero Anaphor;Constructed action;Body part CL;Yes;0;N
2;1;6;12;Maintenance;Zero Anaphor;Plain verb;0;No;0;N
2;1;6;13;Maintenance;Zero Anaphor;Plain verb;0;No;0;N
2;1;6;14;Introduction;Nominal;Bare noun;0;No;0;N
2;1;6;15;Re-introduction;Zero Anaphor;Constructed action;0;No;0;N
2;1;6;16;Introduction;Nominal;Bare noun;0;No;0;N
2;1;6;17;Re-introduction;Nominal;Bare noun;0;No;0;N
2;1;6;18;Maintenance;Zero Anaphor;Person agreement verb;0;No;1;N
2;1;6;19;Re-introduction;Nominal;Noun CL;0;No;0;N
2;1;6;20;Maintenance;Zero Anaphor;Person agreement verb;0;No;0;N
2;1;2;1;Introduction;Nominal;Bare noun;0;No;0;N
2;1;2;2;Introduction;Nominal;Bare noun;0;No;0;N
2;1;2;3;Maintenance;Zero Anaphor;Constructed action;Body part CL;Yes;0;N
2;1;2;4;Maintenance;Zero Anaphor;Constructed action;0;No;0;N
2;1;2;5;Maintenance;Zero Anaphor;Plain verb;0;No;0;N
2;1;2;6;Introduction;Nominal;Bare noun;0;No;0;Y
2;1;2;7;Introduction;Nominal;Bare noun;0;No;0;Y
2;1;2;8;Maintenance;Zero Anaphor;Constructed action;Handling CL;Yes;1;Y
2;1;2;9;Re-introduction;Nominal;Bare noun;0;No;0;Y
2;1;2;10;Re-introduction;Classifier;Whole entity CL;0;No;0;Y
2;1;2;11;Introduction;Nominal;Bare noun;0;No;0;N
2;1;2;12;Re-introduction;Zero Anaphor;Constructed action;Handling CL;Yes;1;N
2;1;2;13;Re-introduction;Nominal;Bare noun;0;No;0;N
